Nom Boutique;Catégorie Boutique;Produit;Description Produit
Cybercafé 4g;Specialiste dans les outilis informatiques;Paracétamol;Médicament utilisé pour réduire la fièvre et soulager la douleur légère à modérée.
Cybercafé 4g;Specialiste dans les outilis informatiques;Ibuprofène;Anti-inflammatoire non stéroïdien (AINS) utilisé pour traiter la douleur, l'inflammation et la fièvre.
Cybercafé 4g;Specialiste dans les outilis informatiques;Aspirine;Médicament analgésique, antipyrétique et anti-inflammatoire, également utilisé pour fluidifier le sang.
Cybercafé 4g;Specialiste dans les outilis informatiques;Antihistaminiques;Médicaments utilisés pour traiter les allergies en bloquant l'action de l'histamine.
Cybercafé 4g;Specialiste dans les outilis informatiques;Sirop pour la toux;Solution médicamenteuse destinée à soulager la toux sèche ou grasse.
Cybercafé 4g;Specialiste dans les outilis informatiques;Thermomètre;Dispositif utilisé pour mesurer la température corporelle.
Cybercafé 4g;Specialiste dans les outilis informatiques;Pansements;Matériaux utilisés pour protéger les plaies et favoriser leur cicatrisation.
Cybercafé 4g;Specialiste dans les outilis informatiques;Compresses stériles;Tissus propres et stériles utilisés pour nettoyer ou couvrir une plaie.
Cybercafé 4g;Specialiste dans les outilis informatiques;Bandages;Bande de tissu utilisée pour maintenir un pansement ou immobiliser une blessure.
Cybercafé 4g;Specialiste dans les outilis informatiques;Désinfectant;Produit utilisé pour éliminer les micro-organismes et désinfecter une surface ou une plaie.
Cybercafé 4g;Specialiste dans les outilis informatiques;Antiseptique;Substance appliquée sur la peau pour prévenir ou traiter une infection.
Cybercafé 4g;Specialiste dans les outilis informatiques;Alcool à 70°;Solution d'éthanol à 70% utilisée pour désinfecter la peau ou le matériel médical.
Cybercafé 4g;Specialiste dans les outilis informatiques;Vitamines;Composés organiques essentiels nécessaires au bon fonctionnement du corps.
Cybercafé 4g;Specialiste dans les outilis informatiques;Compléments alimentaires;Produits contenant des nutriments pour compléter l'alimentation.
Cybercafé 4g;Specialiste dans les outilis informatiques;Crème hydratante;Produit cosmétique qui aide à maintenir l'hydratation de la peau.
